title,author,date,publication_type,rejection_reason
"MILITARY TRADER AND VEHICLES, FEBRUARY 2024, VOLUME 31, ISSUE 2",,,periodical,"Title 15, Section 3006(c)(19) – STG members or associates"
"MILITARY TRADER AND VEHICLES, JANUARY 2024, VOLUME 31, ISSUE 1",,,periodical,"Title 15, Section 3006(c)(19) – STG members or associates"
"MILITARY TRADER AND VEHICLES, MARCH 2024, VOLUME 31, ISSUE 3",,,periodical,"Title 15, Section 3006(c)(19) – STG members or associates"
"MILITARY TRADER AND VEHICLES, NOVEMBER 2023, VOLUME 30, ISSUE 11",,,periodical,"Title 15, Section 3006(c)(19) – STG members or associates"
"MILITARY TRADER AND VEHICLES, OCTOBER 2023, VOLUME 30, ISSUE 10",,,periodical,"Title 15, Section 3006(c)(19) – STG members or associates"
"MILITARY TRADER AND VEHICLES, SEPTEMBER 2023, VOLUME 30, ISSUE 9",,,periodical,"Title 15, Section 3006(c)(19) – STG members or associates"
MIND CONTROL LANGUAGE PATTERNS (2008),Dantalion Jones,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
"MIND CONTROL, THE ANCIENT ART OF PSYCHOLOGICAL WARFARE (2020)",Dr. Haha Lung,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
MIND FIST: THE ASIAN ART OF THE NINJA MASTERS,Dr. Haha Lung,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
MIND WARRIOR (2010),Dr. Haha Lung,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
MINDFULNESS,Christophe Andre,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"MINDHUNTER, INSIDE THE FBI’S ELITE SERIAL CRIME UNIT(2017)",John E. Douglas & Mark Olshaker,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
MIRROR OF MY SOUL,Joey W. Hill,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MISCONDUCT (2015),Penelope Douglas,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MISS AMERICA,Howard Stern,,,"Title 15, Section 3006(c)(17) – frontal nudity"
MOB CANDY,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MOB SORCERY 4 (2025),K.D. Robertson,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MOBBED UP (2021),King Rio,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MOBBED UP 1 (2021),King Rio,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MOBBED UP 2 (2021),King Rio,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
"MOBBED UP 3, DRILL OR BE DRILLED (2021)",King Rio,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
MOBILE PHONES AND TABLET REPAIRS,Chukky Oparandu,,,"Title 15, Section 3006(c)(9) – illustrations, explanations, and/or descriptions of how to sabotage or disrupt computers, communications, or electronics"
"MODERN PAINTERS MAGAZINE, MARCH 2015",Daniel Kunitz,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
MONEY DESIRE AND REGRETS,Jimmy Dasaint,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
MONEY DEVILS 1,Ashley & JaQuavis,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"MONEY HUNGRY DEMONS 2, THE DEVILS YOU KNOW (2024)",Tranay Adams,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
"MONEY HUNGRY DEMONS, IF YOU’RE NOT AT THE TABLE YOU’RE ON THE MENU (2024)",Tranay Adams,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
MONEY MAKES ME CUM (2017),Ernest Morris,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MONSTER BOOK OF MANGA GIRLS,James Gurney,,,"Title 15, Section 3006(c)(17) – frontal nudity"
MONSTER GIRL ROMANTIC CIRCUS (2024),GEN,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
"MONSTER MUSUME , VOLUME 10",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"MONSTER MUSUME , VOLUME 9",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
MONSTER MUSUME 5,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
MONSTER MUSUME VOL. 11,Okayado,,,"Title 15, Section 3006(c)(17) – frontal nudity"
MONSTER MUSUME VOL. 14,Okayado,,,"Title 15, Section 3006(c)(17) – frontal nudity"
MONSTER MUSUME VOL.13,Okayodo,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"MONSTER MUSUME, EVERYDAY LIFE WITH MONSTER GIRLS, VOLUME 1 (2013)",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"MONSTER MUSUME, EVERYDAY LIFE WITH MONSTER GIRLS, VOLUME 8",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"MONSTER MUSUME, I LOVE MONSTER GIRLS, VOLUME 1",Okayado,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"MONSTER MUSUME, VOLUME 15",Okayado,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"MONSTER MUSUME, VOLUME 3 (2014)",Okayado,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
"MONSTER MUSUME, VOLUME 4 (2014)",Okayado,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
MONSTER TITS MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
MONSTER: THE AUTOBIOGRAPHY OF AN L.A. GANG MEMBER,Sanyika Shakur,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"MOON LAKE, MIDNIGHT MUNCHIES, PHASE 1",Dan Fogler,,,"Title 15, Section 3006(c)(17) – frontal nudity"
MOONLITE PRODUCTIONS ORDER FORM,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MORE FORBIDDEN KNOWLEDGE: 101 NEW THINGS NOT EVERYONE SHOULD KNOW HOW TO DO,Matt Forbeck,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"MORNING GLORY MILKING FARM, A MONSTER BAIT ROMANCE (2021)",C.M. Nacosta,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MORNING STAR (2018),Pierce Brown,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
MOTH TO A FLAME (2020),Ashley Antoinette,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
"MOTHER EARTH NEWS, AUG-SEP 2020 ISSUE 301",,,periodical,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
MOTORCYCLIST MARCH-APRIL 2019,,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"MOTORCYCLIST, MARCH-APRIL 2019",,,,"Title 15, Section 3006(c)(19) – STG members or associates"
MOUNTAIN MAN SKILLS,Stephen Brennan,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"MOZZY PRESENTS, IF YOU AIN’T GOT NOBODY, YOU AIN’T NOBODY, FIRST SERIES (2018)",Genaro Patterson,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
MR. IRA KING’S 1ST ADDITION OF GIRLS ARE A MAN’S BEST FRIEND,,,,"Title 15, Section 3006(c)(16) – sexually explicit images"
MR. SKINS SKINC.YCLOPEDIA,Mr. Skin,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"MUAY THAI TRAINING EXERCISES, THE ULTIMATE GUIDE TO FITNESS, STRENGTH, AND FIGHT PREPARATION",Christoph Delp,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
MUAY THAI UNLEASHED,Glen Cordoza,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"MUAYTHAI BORAN, TIGER KING STYLE (2026)",Chinawut Sirisompan GM Woody,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
MUERTE,Mike Giant,,,"Title 15, Section 3006(c)(17) – frontal nudity"
MURCIELAGO VOL. 1,Yoshimurakana,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"MURCIELAGO, VOLUME 21 (2023)",Yoshimurakana,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"MURCIELAGO, VOLUME 22 (2023)",Yoshimurakana,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"MURDER DOG: THE INTERVIEWS, VOLUME 1",Black Dog Bone an Paul Stewart,,periodical,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
MURDER MACHINE (1993),Gene Mustain & Jerry Capeci,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
MURDER MAMAS,Ashley & JaQuavis,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
MURDER MAMAS (2011),Ashley & Jaquavis,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MURDER RAP:THE UNTOLD STORY OF THE BIGGIE SMALLS AND TUPAC SHAKUR MURDER INVESTIGATIONS,Greg Kading,,,"Title 15, Section 3006(c)(19) – STG members or associates"
MURDERED INNOCENTS,Corey Mitchell,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"MURDERVILLE 2, THE EPIDEMIC",Ashley and Jaquavis,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"MURDERVILLE 3, THE BLACK DAHLIA",Ashley and Jaquavis,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"MURDERVILLE, FIRST OF A TRILOGY",Ashley and Jaquavis,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"MUSCLE ELEGANCE, ISSUE 27",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
MUSCLE MEN: ROCK HARD GAY EROTICA,Richard Labonte,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"MUSHOKO TENESI, JOBLESS REINC.ARNATION, VOLUME 1",Jason DeAngelis,,periodical,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"MY BLOODY LIFE, THE MAKING OF A LATIN KING (2000)",Reymundo Sanchez,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
MY BLOODY LIFE: THE MAKING OF A LATIN KING,Reymundo Sanchez,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"MY BLOODY VALENTINE, UNLOCKED DESIRE SERIES (2025)",Mila Crawford,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
MY DEMON HUNTER (2025),Aurora Ascher,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MY FAVORITE THING IS MONSTERS,Emil Ferris,,,"Title 15, Section 3006(c)(17) – frontal nudity"
MY FAVORITE THING IS MONSTERS BOOK 2 (2024),Emil Ferris,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
MY FUNNY DEMON VALENTINE (2025),Aurora Ascher,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"MY HOOD, YOUR BARRIO, HIS BEAT (2013)",Full Blooded Pit,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
"MY MOST SECRET DESIRE, A COLLECTION OF DREAM STORIES",Julie Doucet,,,"Title 15, Section 3006(c)(17) – frontal nudity"
MY ROOMMATES SEXY DADDY (2022),Izzie Vee,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MY SECRET GARDEN (2008),Nancy Friday,,,"Title 15, Section 3006(c)(15)(B)(3) – conduct which is or appears to be forceful, threatening or violent"
MY SECRET LIFE: AN EROTIC DIARY OF VICTORIAN LONDON,Anonymous,,,"Title 15, Section 3006(c)(15)(C)(3) – contains or concerns of nudity of a minor, or person who appears to be under 18 years old."
MY WOMAN HIS WIFE,Anna J.,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
MYSTERY DANCE,Lynn Margulis,,,"Title 15, Section 3006(c)(17) – frontal nudity"
MYSTICAL SIRENS MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
MYSTIQUE MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
MYTHS AND LEGENDS (1992,"David Bellingham, Clio Whittaker, and John Grant",,,"Title 15, Section 3006(c)(15)(C)(3) – contains or concerns of nudity of a minor, or person who appears to be under 18 years old."
NAIMAH,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"NAKED IN DEATH, 25TH ANNIVERSARY EDITION (2020)",J.D. Robb,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NARCONOMICS,Tom Wainwright,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
NATIONAL GEOGRAPHIC GUIDE TO THE NATIONAL PARKS OF THE UNITED STATES,,,,"Title 15, Section 3006(c)(12) – maps depicting any area within a ten mile radius of a facility"
"NATIONAL GEOGRAPHIC HISTORY, NOVEMBER 2016 ISSUE",,,periodical,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"NATIONAL GEOGRAPHIC HISTORY, RUSSIA 1917, SEPTEMBER-OCTOBER 2017",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE LOOTING THE WORLD’S ANCIENT TREASURES, JUNE 2016 ISSUE",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"NATIONAL GEOGRAPHIC MAGAZINE, 100 YEARS, SEPTEMBER 1988",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, 125 YEARS",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, DECEMBER 2015 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, EN ESPANOL, JANUARY 2017 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, GENDER EVOLUTION, JANUARY 2017 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, HISTORY MARCH-APRIL 2017 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, HISTORY, JANUARY-FEBRUARY 2017 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, HISTORY, JULY – AUGUST 2016 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, HISTORY, NOVEMBER- DECEMBER 2017",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, JANUARY 2016 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, JUNE 2013 ISSUE",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"NATIONAL GEOGRAPHIC MAGAZINE, LIFE IN COLOR",Annie Griffiths,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, MARCH 1997",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, MARCH 1997",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, MARCH 1998 ISSUE",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"NATIONAL GEOGRAPHIC MAGAZINE, MARS, JANUARY 2004",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, MAY-JUNE 2017 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, SEPTEMBER 2017 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, TOMB RAIDERS, LOOTING THE WORLD’S ANCIENT TREASURES, JUNE 2016 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, TRAVELER, AUGUST – SEPTEMBER 2016 ISSUE",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC MAGAZINE, WOLF WARS ONCE PROTECTED, NOW HUNTED, MARCH 2010",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NATIONAL GEOGRAPHIC ROAD ATLAS, ADVENTURE EDITION",National Geographic,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"NATIONAL GEOGRAPHIC, AMERICA THE BEAUTIFUL, SEPTEMBER 2022",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"NATIONAL GEOGRAPHIC, ATLAS OF THE NATIONAL PARKS (2021)",,,,"Title 15, Section 3006(c)(12) – maps depicting area within ten miles radius of facility"
"NATIONAL GEOGRAPHIC, AUGUST 2003",,,,"Title 15, Section 3006(c)(15)(C)(6) – conduct where one of the participants is a minor, or appears to be under 18 years old"
"NATIONAL GEOGRAPHIC, FEBRUARY 2026",,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated."
"NATIONAL GEOGRAPHIC, LOS ANGELES CITY DESTINATION, MAP & TRAVEL GUIDE",,,,"Title 15, Section 3006(c)(12) – maps depicting any area within a ten mile radius of a facility"
"NATIONAL GEOGRAPHIC, MARCH 2019",,,,"Title 15, Section 3006(c)(19) – STG members or associates"
"NATIONAL GEOGRAPHIC, NOVEMBER 2020",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"NATIONAL GEOGRAPHIC, ROAD ATLAS SCENIC DRIVES EDITION",,,,"Title 15, Section 3006(c)(12) – maps depicting any area within a ten mile radius of a facility"
"NATIONAL GEOGRAPHIC, SPECIAL ISSUE 01-2021",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"NATIONAL GEOGRAPHIC, VOLUME 186, NO. 2, AUGUST 1994",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"NATIONAL GEOGRAPHIC, VOLUME 193, NO. 3, MARCH 1998",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"NATIONAL GEOGRASPHIC ROAD ATLAS 2025, SCENIC DRIVERS EDITION",,,,"Title 15, Section 3006(c)(12) – maps depicting any area within a ten mile radius of a facility"
"NATIONAL GEORGRAPHIC, A WORLD GONE VIRAL, NOVEMBER 2020",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"NATIVE AMERICAN SURVIVAL SKILLS, HOW TO MAKE CRAFT FROM NATURAL MATERIALS",W. Ben Hunt,,,"Title 15, Section 3006(d) – presents a serious threat to facility incarcerated persons and staff"
NAUGHTY DOTS,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
NAUGHTY EROTIC DESIRES SHORT SEX STORIES (2022),Catherine Howell,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NAUGHTY NEIGHBORS MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
NAUGHTY WORD SEARCH BOOK FOR ADULTS ONLY,Sinnamon Patterson,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NAVY SEAL SNIPER,Glen Doherty & Brandon Webb,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"NEON GENESIS EVANGELION, 3-IN-1 EDITION, VOLUME 1",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"NEON GENESIS EVANGELION, VOLUME 4",Yoshiyuki Sadamoto,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"NEON GENESIS EVANGELION, VOLUME 5",Yoshiyuki Sadamoto,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"NEON GODS, A SCORCHINGLY HOT MODERN RETELLING OF HADES AND PERSEPHONE, DARK OLYMPUS, 1 (2021)",Katee Robert,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NESTLER GIRLS: VOLUME ONE,SQP,,,"Title 15, Section 3006(c)(17) – frontal nudity"
NEVER LOOK BACK (2025),A.L. Jackson,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NEVER MEANT TO HURT YOU (2022),Brianna Nicole Blackwell,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NEW CUMMERS MAGAZINE,,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
"NEW YORK, THE YESTERYEAR ISSUE, APRIL 24-MAY 7, 2023",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
NEW YORK: INSIDE A GROWING TERRORIST MOVEMENT,,,,"Title 15, Section 3006(c)(5) – plans to disrupt the order, or breach the security, of any facility"
"NEWSWEEK- AUGUST 9, 2019",,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
NEXT DOOR NYMPHO 2,CJ Hudson,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NICKLES AND DIMES CATALOG 2016,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NICKLES AND DIMES CATALOG 2017,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NICKLES AND DIMES CATALOG 2018,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NIGHT FIRE (2002),Catherine Coulter,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NIKA AND HER FATHER, EROTIC STORIES, ISSUE 7, NOVEMBER 2025",,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NINA HARTLEY’S GUIDE TO TOTAL SEX,Nina Hartley,,,"Title 15, Section 3006(c)(17) – frontal nudity"
NLP PROHIBITED PERSUASION TECHNIQUES,,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
"NLP, NEURO LINGUISTIC PROGRAMMING THE NEW ART AND SCIENCE OF GETTING WHAT YOU WANT (1997)",Harry Adler,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
NO GAME NO LIFE VOLUME 2 (2015),Yuu Kamiya,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
NO GAME NO LIFE VOLUME 3 (2015),Yuu Kamiya,,periodical,"Title 15, Section 3006(c)(16) – sexually explicit images"
"NO GAME NO LIFE, PLEASE!",Yuu Kamiya,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"NO GRID SURVIVAL PROJECTS, BY CLAUDE DAVIS, MICHAEL MAJOR, AMBER ROBINSON, AND JAMES WALTON (2021)","Claude Davis, Michael Major,Amber Robinson and James Walton",,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated"
NO JOKE (2023),Ruben Becerrada,,,"Title 15, Section 3006(c)(19) – STG members or associates"
"NO REGRETS THE BEST, WORST, & MOST #%* RIDICULOUS TATTOOS EVER",Aviva Yael/P.M. Chen,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NO SAFEWORD,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NO TURNING BACK (2025),Rasheen Childs RaRa,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
"NOBODY’S GIRLS, ISSUE 1-2",,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
NODA: POTRAITS OF PLEASURE,Fanfare,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"NOMI & SCRITTE MAGAZINE, ISSUE NUMBER 8",Delia Vico,,periodical,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NORTH AMERICAN CAMPGROUND GUIDE (2022),,,,"Title 15, Section 3006(c)(12) – maps depicting any area within a ten mile radius of a facility"
"NORTHLANDERS, SVEN THE RETURN, VOLUME 1",Brian Wood and Davide Gianfelice,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
NOTHING BUTT PICTURES CATALOG,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NOTHING BUTT PICTURES CATALOG 24-138,,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NOTHING BUTT PICTURES CATALOG 466-562,,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"NOTHING BUTT PICTURES CATALOG, 57-85",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NOTHING BUTT PICTURES CATALOG, 57-85",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NOTHING BUTT PICTURES, CATALOG 563-601",,,,"Title 15, Section 3006(c)(17) – frontal nudity"
NOW OPEN YOUR EYES (2020),Nicole Florina,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NSFW DIRTY JOKES FOR ADULTS (2020),Them Adults,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"NUDE 11, FOS",,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
NUDE: THE JOB OF FIGURE DRAWING,Jim Silke,,,"Title 15, Section 3006(c)(17) – frontal nudity"
NUESTRA FAMILIA: BROKEN PARADIGM,John “Boxer” Mendoza,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
NYMPH,Frank Thorne,,,"Title 15, Section 3006(c)(17) – frontal nudity"
"NYMPHETTES, THE EROTIC ELFIN ART OF BARRY BLAIR & COLIN WALBRIDGE, VOLUME 1",Barry Blair & Colin Walbridge,,periodical,"Title 15, Section 3006(c)(17) – frontal nudity"
OATHS AND OMISSIONS (2025),Sav R. Miller,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"OBSCENE, INDECENT, IMMORAL, AND OFFENSIVE",Stephen Tropiano,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"OBSCENE, INDECENT, IMMORAL, AND OFFENSIVE",Stephen Tropiano,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
