row,pdf_page,source_text
53,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, CUSTOM 8                    serious literary, artistic,
                                      political or scientiﬁc"
54,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, CUSTOM 9                    serious literary, artistic,
                                      political or scientiﬁc
                                      value"
55,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(17) – frontal
PRESENTS, NEKKID-1                    nudity"
56,3,"4 THE PACK            4 The Pack      Title 15, Section
ENTERTAINMENT         Entertainment   3006(c)(15)(A) – lacks
PRESENTS, NUDE 5,                     serious literary, artistic,
SUPER SIZE1, ASIAN 1,                   political or scientiﬁc
ASIAN CAMEL,                            value
CAMELTOE 1,
CAMELTOE 4, PS
FELICIA 1"
57,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS ALEX 2                     nudity"
58,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS ALEXIS                     nudity
2"
59,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS BBW 2                      nudity"
60,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS BELLA                      nudity"
61,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS BLACK                      nudity
1"
62,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS BLACK                      serious literary, artistic,
2                                       political or scientiﬁc
                                        value"
63,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS                            serious literary, artistic,
BRIELLA                                 political or scientiﬁc
                                        value"
64,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS EBONY                      nudity
1"
65,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(15)(A) – lacks
PRESENTS, PS EBONY                      serious literary, artistic,
2                                       political or scientiﬁc
                                        value"
66,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS ISIS 1                     nudity"
67,4,"4 THE PACK              4 The Pack      Title 15, Section
ENTERTAINMENT           Entertainment   3006(c)(17) – frontal
PRESENTS, PS ISIS 2                     nudity"
